aar;mnd;lengde;bredde;redskap;starttid;stopptid;taueT;bunndyp;opening;dist;tilstand;kvalitet;delnr;akode;art;latin;maal_fangst;fangstKvant;fangstAnt;maal_lprov;lengdemaal;lengdeProveKv;lengdeProveAnt;interv;kjonn;Min;Max;L000_009;L010_014;L015_019;L020_024;L025_029;L030_034;L035_039;L040_044;L045_049;L050_054;L055_059;L060_064;L065_069;L070_074;L075_079;L080_084;L085_089;L090_094;L095_099;L100_104;L105_109;L110_114;L115_119;L120_124;L125_129;L130_134;L135_139;L140_144;L145_149;L150_154;L155_159;L160_164;L165_169;L170_174;L175_179;L180_184;L185_189;L190_194;L195_199;L200_999;L1000_9999;Sum
1988;9;9.767;72;3100;1300;1330;0.5;500;-1;1.5;1;1;1;2;KOLMULE     ;MICROMESISTIUS POUTASSOU;-1;-1;1;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;9;9.767;72;3100;1300;1330;0.5;500;-1;1.5;1;1;1;2;MANETER     ;HYDROIDOLINA;1;20;-1;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;9;17.083;69.917;3230;2144;2244;1;215;-1;3;1;1;1;2;HAVMUS      ;CHIMAERA MONSTROSA;-1;-1;3;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;9;17.083;69.917;3230;2144;2244;1;215;-1;3;1;1;1;2;LUSUER      ;SEBASTES VIVIPARUS;1;10;127;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;9;17.083;69.917;3230;2144;2244;1;215;-1;3;1;1;1;2;TORSK       ;GADUS MORHUA;1;20;-1;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;9;17.083;69.917;3230;2144;2244;1;215;-1;3;1;1;1;2;VANLIG UER  ;SEBASTES NORVEGICUS;-1;-1;2;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;9;17.083;69.917;3230;2144;2244;1;215;-1;3;1;1;1;2;ØYEPÅL      ;TRISOPTERUS ESMARKII;1;10;-1;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;9;17.033;69.85;3230;5;105;1;316;-1;3;1;1;1;2;HAVMUS      ;CHIMAERA MONSTROSA;-1;-1;1;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;9;17.033;69.85;3230;5;105;1;316;-1;3;1;1;1;2;HYSE        ;MELANOGRAMMUS AEGLEFINUS;-1;-1;2;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;9;17.033;69.85;3230;5;105;1;316;-1;3;1;1;1;2;SEI         ;POLLACHIUS VIRENS;-1;-1;1;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;9;17.033;69.85;3230;5;105;1;316;-1;3;1;1;1;2;TORSK       ;GADUS MORHUA;-1;-1;4;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;9;17.033;69.85;3230;5;105;1;316;-1;3;1;1;1;2;VANLIG UER  ;SEBASTES NORVEGICUS;-1;-1;50;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;1;3.05;60.433;3120;817;847;0.5;117;-1;2.2;1;1;1;2;GAPEFLYNDRE ;HIPPOGLOSSOIDES PLATESSOIDES;1;0.2;1;1;E;0.2;1;3; ;19;19;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1988;1;3.05;60.433;3120;817;847;0.5;117;-1;2.2;1;1;1;2;HVITTING    ;MERLANGIUS MERLANGUS;1;0.3;5;1;E;0.3;5;3; ;11;27;;2;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
1988;1;3.05;60.433;3120;817;847;0.5;117;-1;2.2;1;1;1;2;HYSE        ;MELANOGRAMMUS AEGLEFINUS;1;15.1;90;1;E;15.1;90;3; ;14;44;;2;7;35;30;4;10;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90
1988;1;3.05;60.433;3120;817;847;0.5;117;-1;2.2;1;1;1;2;KNURR       ;EUTRIGLA GURNARDUS;1;0.2;1;1;E;0.2;1;3; ;36;36;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1988;1;3.05;60.433;3120;817;847;0.5;117;-1;2.2;1;1;1;2;SEI         ;POLLACHIUS VIRENS;1;1.8;2;1;E;1.8;2;3; ;48;50;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
1988;1;3.05;60.433;3120;817;847;0.5;117;-1;2.2;1;1;1;2;TORSK       ;GADUS MORHUA;1;1.4;2;1;E;1.4;2;3; ;34;48;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
1988;1;3.083;60.6;3120;1243;1315;0.53;141;-1;2.1;1;1;1;2;HVITTING    ;MERLANGIUS MERLANGUS;1;0.1;1;1;E;0.1;1;3; ;14;14;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1988;1;3.083;60.6;3120;1243;1315;0.53;141;-1;2.1;1;1;1;2;HYSE        ;MELANOGRAMMUS AEGLEFINUS;1;3.6;54;1;E;3.6;54;3; ;10;37;;12;27;5;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54
1988;1;3.083;60.6;3120;1243;1315;0.53;141;-1;2.1;1;1;1;2;KNURR       ;EUTRIGLA GURNARDUS;1;2.5;9;1;E;2.5;9;3; ;20;38;;;;1;4;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9
1988;1;3.083;60.6;3120;1243;1315;0.53;141;-1;2.1;1;1;1;2;LOMRE       ;MICROSTOMUS KITT;1;0.4;1;1;E;0.4;1;3; ;32;32;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1988;1;3.083;60.6;3120;1243;1315;0.53;141;-1;2.1;1;1;1;2;SEI         ;POLLACHIUS VIRENS;1;0.8;1;1;E;0.8;1;3; ;46;46;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1988;1;3.083;60.6;3120;1243;1315;0.53;141;-1;2.1;1;1;1;2;VASSILD     ;ARGENTINA SILUS;1;0.3;13;1;E;0.3;13;3; ;12;19;;2;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13
1988;1;3.083;60.6;3120;1243;1315;0.53;141;-1;2.1;1;1;1;2;ØYEPÅL      ;TRISOPTERUS ESMARKII;1;0.3;32;1;E;0.3;32;3; ;8;11;10;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32
1988;1;2.5;60.433;3120;1543;1613;0.5;92;-1;2.3;1;1;1;2;GAPEFLYNDRE ;HIPPOGLOSSOIDES PLATESSOIDES;-1;-1;2;-1;E;-1;2;3; ;15;17;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
1988;1;2.5;60.433;3120;1543;1613;0.5;92;-1;2.3;1;1;1;2;HVITTING    ;MERLANGIUS MERLANGUS;1;14;155;1;E;14;155;3; ;14;32;;1;9;79;62;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;155
1988;1;2.5;60.433;3120;1543;1613;0.5;92;-1;2.3;1;1;1;2;HYSE        ;MELANOGRAMMUS AEGLEFINUS;1;58;572;1;E;29;286;3; ;11;37;;56;51;95;65;13;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;286
1988;1;2.5;60.433;3120;1543;1613;0.5;92;-1;2.3;1;1;1;2;KLOSKATE    ;AMBLYRAJA RADIATA;1;0.4;1;1;E;0.4;1;3; ;37;37;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1988;1;2.5;60.433;3120;1543;1613;0.5;92;-1;2.3;1;1;1;2;KNURR       ;EUTRIGLA GURNARDUS;1;3.6;10;1;E;3.6;10;3; ;24;40;;;;1;2;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10
1988;1;2.5;60.433;3120;1543;1613;0.5;92;-1;2.3;1;1;1;2;SANDFLYNDRE ;LIMANDA LIMANDA;1;0.4;10;1;E;0.4;10;3; ;13;18;;2;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10
1988;1;2.5;60.433;3120;1543;1613;0.5;92;-1;2.3;1;1;1;2;SEI         ;POLLACHIUS VIRENS;1;1.9;2;1;E;1.9;2;3; ;49;50;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
