aar;mnd;lengde;bredde;redskap;starttid;stopptid;taueT;bunndyp;opening;dist;tilstand;kvalitet;delnr;akode;art;latin;maal_fangst;fangstKvant;fangstAnt;maal_lprov;lengdemaal;lengdeProveKv;lengdeProveAnt;interv;kjonn;Min;Max;L000_009;L010_014;L015_019;L020_024;L025_029;L030_034;L035_039;L040_044;L045_049;L050_054;L055_059;L060_064;L065_069;L070_074;L075_079;L080_084;L085_089;L090_094;L095_099;L100_104;L105_109;L110_114;L115_119;L120_124;L125_129;L130_134;L135_139;L140_144;L145_149;L150_154;L155_159;L160_164;L165_169;L170_174;L175_179;L180_184;L185_189;L190_194;L195_199;L200_999;L1000_9999;Sum
1990;1;2.8;56.95;3120;602;632;0.5;66;50;2;1;1;1;2;GAPEFLYNDRE ;HIPPOGLOSSOIDES PLATESSOIDES;1;0.92;34;1;E;0.92;34;3; ;7;26;5;17;10;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34
1990;1;2.8;56.95;3120;602;632;0.5;66;50;2;1;1;1;2;HVITTING    ;MERLANGIUS MERLANGUS;1;7.35;262;1;E;3;107;3; ;10;29;;64;39;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;107
1990;1;2.8;56.95;3120;602;632;0.5;66;50;2;1;1;1;2;HYSE        ;MELANOGRAMMUS AEGLEFINUS;1;0.55;5;1;E;0.55;5;3; ;18;30;;;2;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
1990;1;2.8;56.95;3120;602;632;0.5;66;50;2;1;1;1;2;KLOSKATE    ;AMBLYRAJA RADIATA;1;7;15;1;E;7;15;3; ;20;50;;;;3;1;2;3;4;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15
1990;1;2.8;56.95;3120;602;632;0.5;66;50;2;1;1;1;2;SANDFLYNDRE ;LIMANDA LIMANDA;1;6.5;166;1;E;2;51;3; ;11;21;;13;36;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51
1990;1;2.8;56.95;3120;602;632;0.5;66;50;2;1;1;1;2;TORSK       ;GADUS MORHUA;1;1.02;6;1;E;1.02;6;3; ;12;35;;2;1;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
1990;1;2.8;56.95;3120;602;632;0.5;66;50;2;1;1;1;2;ØYEPÅL      ;TRISOPTERUS ESMARKII;1;0.46;26;1;E;0.46;26;3; ;11;18;;21;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26
1990;1;2.867;57.3;3120;904;934;0.5;67;50;2;1;1;1;2;GAPEFLYNDRE ;HIPPOGLOSSOIDES PLATESSOIDES;1;4.2;103;1;E;4.2;103;3; ;12;23;;21;69;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;103
1990;1;2.867;57.3;3120;904;934;0.5;67;50;2;1;1;1;2;HVITTING    ;MERLANGIUS MERLANGUS;1;13.3;286;1;E;5.25;113;3; ;12;29;;32;45;29;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;113
1990;1;2.867;57.3;3120;904;934;0.5;67;50;2;1;1;1;2;HYSE        ;MELANOGRAMMUS AEGLEFINUS;1;3;49;1;E;3;49;3; ;12;25;;1;36;11;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49
1990;1;2.867;57.3;3120;904;934;0.5;67;50;2;1;1;1;2;KLOSKATE    ;AMBLYRAJA RADIATA;1;5.1;8;1;E;5.1;8;3; ;18;50;;;1;;;;2;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8
1990;1;2.867;57.3;3120;904;934;0.5;67;50;2;1;1;1;2;KNURR       ;EUTRIGLA GURNARDUS;1;3.67;22;1;E;3.67;22;3; ;16;40;;;4;8;3;5;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22
1990;1;2.867;57.3;3120;904;934;0.5;67;50;2;1;1;1;2;LYR         ;POLLACHIUS POLLACHIUS;1;4.5;1;1;E;4.5;1;3; ;74;74;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1990;1;2.867;57.3;3120;904;934;0.5;67;50;2;1;1;1;2;RØDSPETTE   ;PLEURONECTES PLATESSA;1;0.5;1;1;E;0.5;1;3; ;37;37;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1990;1;2.867;57.3;3120;904;934;0.5;67;50;2;1;1;1;2;SANDFLYNDRE ;LIMANDA LIMANDA;1;33.9;753;1;E;4.5;100;3; ;12;23;;30;64;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100
1990;1;2.867;57.3;3120;904;934;0.5;67;50;2;1;1;1;2;TORSK       ;GADUS MORHUA;1;7;24;1;E;7;24;3; ;13;81;;2;9;2;9;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;24
1990;1;2.867;57.3;3120;904;934;0.5;67;50;2;1;1;1;2;ØYEPÅL      ;TRISOPTERUS ESMARKII;1;0.62;50;1;E;0.62;50;3; ;9;16;1;48;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50
1990;1;3.117;57.367;3120;1041;1111;0.5;62;50;2;1;1;1;2;GAPEFLYNDRE ;HIPPOGLOSSOIDES PLATESSOIDES;1;0.45;13;1;E;0.45;13;3; ;14;19;;2;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13
1990;1;3.117;57.367;3120;1041;1111;0.5;62;50;2;1;1;1;2;HVITTING    ;MERLANGIUS MERLANGUS;1;0.875;29;1;E;0.875;29;3; ;10;23;;14;13;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29
1990;1;3.117;57.367;3120;1041;1111;0.5;62;50;2;1;1;1;2;HYSE        ;MELANOGRAMMUS AEGLEFINUS;1;0.285;2;1;E;0.285;2;3; ;18;30;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
1990;1;3.117;57.367;3120;1041;1111;0.5;62;50;2;1;1;1;2;KLOSKATE    ;AMBLYRAJA RADIATA;1;2.2;3;1;E;2.2;3;3; ;39;47;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
1990;1;3.117;57.367;3120;1041;1111;0.5;62;50;2;1;1;1;2;KNURR       ;EUTRIGLA GURNARDUS;1;0.34;2;1;E;0.34;2;3; ;27;28;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
1990;1;3.117;57.367;3120;1041;1111;0.5;62;50;2;1;1;1;2;SANDFLYNDRE ;LIMANDA LIMANDA;1;3.4;78;1;E;3.4;78;3; ;11;23;;25;45;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78
1990;1;3.117;57.367;3120;1041;1111;0.5;62;50;2;1;1;1;2;SILD        ;CLUPEA HARENGUS;1;0.355;4;1;E;0.355;4;2; ;22.5;25;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
1990;1;3.417;56.933;3120;1349;1419;0.5;60;50;2;1;1;1;2;GAPEFLYNDRE ;HIPPOGLOSSOIDES PLATESSOIDES;1;0.4;12;1;E;0.4;12;3; ;13;23;;4;7;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12
1990;1;3.417;56.933;3120;1349;1419;0.5;60;50;2;1;1;1;2;HVITTING    ;MERLANGIUS MERLANGUS;1;10.22;463;1;E;2.65;120;3; ;11;23;;79;38;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120
