aar;mnd;lengde;bredde;redskap;starttid;stopptid;taueT;bunndyp;opening;dist;tilstand;kvalitet;delnr;akode;art;latin;maal_fangst;fangstKvant;fangstAnt;maal_lprov;lengdemaal;lengdeProveKv;lengdeProveAnt;interv;kjonn;Min;Max;L000_009;L010_014;L015_019;L020_024;L025_029;L030_034;L035_039;L040_044;L045_049;L050_054;L055_059;L060_064;L065_069;L070_074;L075_079;L080_084;L085_089;L090_094;L095_099;L100_104;L105_109;L110_114;L115_119;L120_124;L125_129;L130_134;L135_139;L140_144;L145_149;L150_154;L155_159;L160_164;L165_169;L170_174;L175_179;L180_184;L185_189;L190_194;L195_199;L200_999;L1000_9999;Sum
1980;2;35.7;69.833;3230;350;450;1;219;-1;3;1;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;2;33.217;72.117;3230;1550;1650;1;258;-1;3;1;1;1;2;BLÅKVEITE   ;REINHARDTIUS HIPPOGLOSSOIDES;1;1.1;2;1;E;0.55;1;3; ;40;40;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1980;2;33.217;72.117;3230;1550;1650;1;258;-1;3;1;1;1;2;GAPEFLYNDRE ;HIPPOGLOSSOIDES PLATESSOIDES;1;58;346;1;E;29;173;3; ;8;43;3;11;45;35;39;22;11;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;173
1980;2;33.217;72.117;3230;1550;1650;1;258;-1;3;1;1;1;2;HYSE        ;MELANOGRAMMUS AEGLEFINUS;1;0.14;2;1;E;0.07;1;3; ;16;16;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1980;2;33.217;72.117;3230;1550;1650;1;258;-1;3;1;1;1;2;LODDE       ;MALLOTUS VILLOSUS;1;0.9;74;1;E;0.45;37;2; ;12.5;17;;19;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37
1980;2;33.217;72.117;3230;1550;1650;1;258;-1;3;1;1;1;2;POLARTORSK  ;BOREOGADUS SAIDA;1;42.6;3586;1;E;1.188;100;3; ;10;16;;96;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100
1980;2;33.217;72.117;3230;1550;1650;1;258;-1;3;1;1;1;2;TORSK       ;GADUS MORHUA;1;0.5;6;1;E;0.25;3;3; ;19;22;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
1980;2;33.217;72.117;3230;1550;1650;1;258;-1;3;1;1;1;2;BLÅSTEINBIT ;ANARHICHAS DENTICULATUS;1;30.1;3;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;2;33.217;72.117;3230;1550;1650;1;258;-1;3;1;1;1;2;DYPVANNSREKE;PANDALUS BOREALIS;1;42.2;-1;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;2;33.217;72.117;3230;1550;1650;1;258;-1;3;1;1;1;2;HORNKVABBEFA;STICHAEIDAE;1;0.2;4;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;2;33.217;72.117;3230;1550;1650;1;258;-1;3;1;1;1;2;KROKULKE    ;ARTEDIELLUS ATLANTICUS;1;0.1;8;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;2;33.217;72.117;3230;1550;1650;1;258;-1;3;1;1;1;2;SKATEFAMILIE;RAJIDAE;1;37.4;72;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;2;33.217;72.117;3230;1550;1650;1;258;-1;3;1;1;1;2;TISKJEGG    ;LEPTAGONUS DECAGONUS;1;0.5;2;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;2;33.217;72.117;3230;1550;1650;1;258;-1;3;1;1;1;2;ÅLEKVABBEFAM;ZOARCIDAE;1;0.7;6;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;2;33.217;72.117;3230;1550;1650;1;258;-1;3;1;1;1;2;UERSLEKTEN  ;SEBASTES;1;2.6;104;1;E;1.3;52;3; ;5;23;35;6;9;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52
1980;2;34.333;70.167;3230;550;650;1;250;-1;3;1;1;1;2;BLÅKVEITE   ;REINHARDTIUS HIPPOGLOSSOIDES;1;17;20;1;E;8.5;10;3; ;38;50;;;;;;;2;3;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10
1980;2;34.333;70.167;3230;550;650;1;250;-1;3;1;1;1;2;GAPEFLYNDRE ;HIPPOGLOSSOIDES PLATESSOIDES;1;28.2;118;1;E;14.1;59;3; ;10;44;;8;11;7;14;6;9;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59
1980;2;34.333;70.167;3230;550;650;1;250;-1;3;1;1;1;2;HYSE        ;MELANOGRAMMUS AEGLEFINUS;1;1.2;12;1;E;0.6;6;3; ;17;29;;;5;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
1980;2;34.333;70.167;3230;550;650;1;250;-1;3;1;1;1;2;LODDE       ;MALLOTUS VILLOSUS;1;1.8;88;1;E;0.9;44;2; ;13.5;17.5;;8;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44
1980;2;34.333;70.167;3230;550;650;1;250;-1;3;1;1;1;2;POLARTORSK  ;BOREOGADUS SAIDA;1;146.8;9326;1;E;1.7;108;3; ;10;17;;97;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108
1980;2;34.333;70.167;3230;550;650;1;250;-1;3;1;1;1;2;SILD'G07    ;CLUPEA HARENGUS HARENGUS;-1;-1;-1;1;E;2.22;22;2; ;21;26;;;;16;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22
1980;2;34.333;70.167;3230;550;650;1;250;-1;3;1;1;1;2;BLÅSTEINBIT ;ANARHICHAS DENTICULATUS;1;3;1;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;2;34.333;70.167;3230;550;650;1;250;-1;3;1;1;1;2;FLEKKSTEINBI;ANARHICHAS MINOR;1;7.2;4;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;2;34.333;70.167;3230;550;650;1;250;-1;3;1;1;1;2;PIGGSKATE   ;RAJA CLAVATA;-1;-1;4;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;2;34.333;70.167;3230;550;650;1;250;-1;3;1;1;1;2;ROGNKJEKS   ;CYCLOPTERUS LUMPUS;1;3.2;2;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;2;34.333;70.167;3230;550;650;1;250;-1;3;1;1;1;2;TISKJEGG    ;LEPTAGONUS DECAGONUS;-1;-1;4;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;2;34.333;70.167;3230;550;650;1;250;-1;3;1;1;1;2;UERSLEKTEN  ;SEBASTES;1;1.4;66;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;2;34.333;70.167;3230;550;650;1;250;-1;3;1;1;1;2;TORSK       ;GADUS MORHUA;1;5.2;36;1;E;2.6;18;3; ;20;33;;;;8;7;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18
1980;2;34.333;69.667;3230;1240;1340;1;180;-1;3;1;1;1;2;GAPEFLYNDRE ;HIPPOGLOSSOIDES PLATESSOIDES;1;26;185;1;E;26;185;3; ;11;45;;16;37;67;40;17;5;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;185
1980;2;34.333;69.667;3230;1240;1340;1;180;-1;3;1;1;1;2;HYSE        ;MELANOGRAMMUS AEGLEFINUS;1;7;109;1;E;7;109;3; ;14;25;;1;95;11;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;109
1980;2;34.333;69.667;3230;1240;1340;1;180;-1;3;1;1;1;2;LODDE       ;MALLOTUS VILLOSUS;1;21;765;1;E;2.8;102;2; ;13.5;18.5;;8;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102
1980;2;34.333;69.667;3230;1240;1340;1;180;-1;3;1;1;1;2;RØDSPETTE   ;PLEURONECTES PLATESSA;1;194;362;1;E;97;181;3; ;23;53;;;;1;12;67;63;27;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;181
1980;2;34.333;69.667;3230;1240;1340;1;180;-1;3;1;1;1;2;SILD        ;CLUPEA HARENGUS;1;0.5;3;1;E;0.5;3;3; ;22;24;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
1980;2;34.333;69.667;3230;1240;1340;1;180;-1;3;1;1;1;2;TORSK       ;GADUS MORHUA;1;27;48;1;E;27;48;3; ;20;61;;;;25;5;;;2;6;8;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48
1980;2;34.333;69.667;3230;1240;1340;1;180;-1;3;1;1;1;2;FLEKKSTEINBI;ANARHICHAS MINOR;1;36;11;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;2;34.333;69.667;3230;1240;1340;1;180;-1;3;1;1;1;2;GRÅSTEINBIT ;ANARHICHAS LUPUS;1;1.3;2;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;2;34.333;69.667;3230;1240;1340;1;180;-1;3;1;1;1;2;ROGNKJEKS   ;CYCLOPTERUS LUMPUS;-1;-1;16;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;2;34.333;69.667;3230;1240;1340;1;180;-1;3;1;1;1;2;SKATEFAMILIE;RAJIDAE;-1;-1;31;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;2;34.333;69.667;3230;1240;1340;1;180;-1;3;1;1;1;2;UERSLEKTEN  ;SEBASTES;1;20;88;1;E;20;88;3; ;12;35;;2;15;31;29;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88
1980;2;32.117;70.533;3230;1750;1850;1;290;-1;3;1;1;1;2;HYSE        ;MELANOGRAMMUS AEGLEFINUS;1;102;129;1;E;34;43;3; ;29;52;;;;;1;2;6;15;18;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43
