aar;mnd;lengde;bredde;redskap;starttid;stopptid;taueT;bunndyp;opening;dist;tilstand;kvalitet;delnr;akode;art;latin;maal_fangst;fangstKvant;fangstAnt;maal_lprov;lengdemaal;lengdeProveKv;lengdeProveAnt;interv;kjonn;Min;Max;L000_009;L010_014;L015_019;L020_024;L025_029;L030_034;L035_039;L040_044;L045_049;L050_054;L055_059;L060_064;L065_069;L070_074;L075_079;L080_084;L085_089;L090_094;L095_099;L100_104;L105_109;L110_114;L115_119;L120_124;L125_129;L130_134;L135_139;L140_144;L145_149;L150_154;L155_159;L160_164;L165_169;L170_174;L175_179;L180_184;L185_189;L190_194;L195_199;L200_999;L1000_9999;Sum
2003;1;0.458;61.065;3118;936;956;0.33;154;-1;1.2;1;1;1;2;BREIFLABB   ;LOPHIUS PISCATORIUS;1;10.04;3;1;E;10.04;3;3; ;57;72;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
2003;1;0.458;61.065;3118;936;956;0.33;154;-1;1.2;1;1;1;2;GAPEFLYNDRE ;HIPPOGLOSSOIDES PLATESSOIDES;1;2.55;73;1;E;1.225;35;3; ;11;34;;20;13;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35
2003;1;0.458;61.065;3118;936;956;0.33;154;-1;1.2;1;1;1;2;HESTMAKRELL ;TRACHURUS TRACHURUS;1;11.42;32;1;F;11.42;32;3; ;25;37;;;;;1;22;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32
2003;1;0.458;61.065;3118;936;956;0.33;154;-1;1.2;1;1;2;2;HESTMAKRELL ;TRACHURUS TRACHURUS;1;0.5;14;1;F;0.5;14;3; ;11;22;;10;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14
2003;1;0.458;61.065;3118;936;956;0.33;154;-1;1.2;1;1;1;2;HVITTING    ;MERLANGIUS MERLANGUS;1;23.08;72;1;E;11.54;36;3; ;19;50;;;1;;6;20;8;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36
2003;1;0.458;61.065;3118;936;956;0.33;154;-1;1.2;1;1;1;2;HYSE        ;MELANOGRAMMUS AEGLEFINUS;1;63.44;206;1;E;23.14;75;3; ;15;42;;;4;10;18;30;12;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75
2003;1;0.458;61.065;3118;936;956;0.33;154;-1;1.2;1;1;1;2;KNURR       ;EUTRIGLA GURNARDUS;1;2.96;26;1;E;1.48;13;3; ;17;33;;;2;5;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13
2003;1;0.458;61.065;3118;936;956;0.33;154;-1;1.2;1;1;1;2;KOLMULE     ;MICROMESISTIUS POUTASSOU;1;3.24;80;1;E;1.62;40;2; ;10;26.5;;5;24;9;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40
2003;1;0.458;61.065;3118;936;956;0.33;154;-1;1.2;1;1;1;3;LOLIGO      ;LOLIGO      ;1;3.92;26;1;E;1.96;13;3; ;10;28;;7;5;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13
2003;1;0.458;61.065;3118;936;956;0.33;154;-1;1.2;1;1;1;2;LOMRE       ;MICROSTOMUS KITT;1;0.23;2;1;E;0.115;1;3; ;22;22;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
