aar;mnd;lengde;bredde;redskap;starttid;stopptid;taueT;bunndyp;opening;dist;tilstand;kvalitet;delnr;akode;art;latin;maal_fangst;fangstKvant;fangstAnt;maal_lprov;lengdemaal;lengdeProveKv;lengdeProveAnt;interv;kjonn;Min;Max;L000_009;L010_014;L015_019;L020_024;L025_029;L030_034;L035_039;L040_044;L045_049;L050_054;L055_059;L060_064;L065_069;L070_074;L075_079;L080_084;L085_089;L090_094;L095_099;L100_104;L105_109;L110_114;L115_119;L120_124;L125_129;L130_134;L135_139;L140_144;L145_149;L150_154;L155_159;L160_164;L165_169;L170_174;L175_179;L180_184;L185_189;L190_194;L195_199;L200_999;L1000_9999;Sum
1987;1;0.517;61.083;3120;803;833;0.5;150;-1;1.6;1;1;1;2;BROSME      ;BROSME BROSME;1;1.7;1;1;E;1.7;1;3; ;56;56;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1987;1;0.517;61.083;3120;803;833;0.5;150;-1;1.6;1;1;1;2;GAPEFLYNDRE ;HIPPOGLOSSOIDES PLATESSOIDES;1;1.6;86;1;E;1.6;86;3; ;7;20;17;58;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86
1987;1;0.517;61.083;3120;803;833;0.5;150;-1;1.6;1;1;1;2;GLASSVAR    ;LEPIDORHOMBUS WHIFFIAGONIS;1;7.1;23;1;E;7.1;23;3; ;13;55;;1;3;4;4;2;4;4;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23
1987;1;0.517;61.083;3120;803;833;0.5;150;-1;1.6;1;1;1;2;HESTMAKRELL ;TRACHURUS TRACHURUS;1;1.3;3;1;F;1.3;3;3; ;35;42;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
1987;1;0.517;61.083;3120;803;833;0.5;150;-1;1.6;1;1;1;2;HVITTING    ;MERLANGIUS MERLANGUS;1;2.2;12;1;E;2.2;12;3; ;15;36;;;3;1;4;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12
1987;1;0.517;61.083;3120;803;833;0.5;150;-1;1.6;1;1;1;2;HYSE        ;MELANOGRAMMUS AEGLEFINUS;1;18;111;1;E;18;111;3; ;11;53;;23;30;28;15;5;1;3;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;111
1987;1;0.517;61.083;3120;803;833;0.5;150;-1;1.6;1;1;1;2;KLOSKATE    ;AMBLYRAJA RADIATA;1;4.2;2;1;E;4.2;2;3; ;77;79;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2
1987;1;0.517;61.083;3120;803;833;0.5;150;-1;1.6;1;1;1;2;KNURR       ;EUTRIGLA GURNARDUS;1;7.8;46;1;E;7.8;46;3; ;14;40;;1;7;12;15;6;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46
1987;1;0.517;61.083;3120;803;833;0.5;150;-1;1.6;1;1;1;2;LANGE       ;MOLVA MOLVA;1;1.3;1;1;E;1.3;1;3; ;63;63;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1987;1;0.517;61.083;3120;803;833;0.5;150;-1;1.6;1;1;1;2;LOMRE       ;MICROSTOMUS KITT;1;0.3;3;1;E;0.3;3;3; ;22;23;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
1987;1;0.517;61.083;3120;803;833;0.5;150;-1;1.6;1;1;1;2;LYSING      ;MERLUCCIUS MERLUCCIUS;1;0.7;22;1;E;0.7;22;3; ;10;30;;17;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22
1987;1;0.517;61.083;3120;803;833;0.5;150;-1;1.6;1;1;1;2;MAKRELL     ;SCOMBER SCOMBRUS;1;0.61;3;1;F;0.61;3;3; ;27;34;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
1987;1;0.517;61.083;3120;803;833;0.5;150;-1;1.6;1;1;1;2;SANDFLYNDRE ;LIMANDA LIMANDA;1;0.1;1;1;E;0.1;1;3; ;19;19;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1987;1;0.517;61.083;3120;803;833;0.5;150;-1;1.6;1;1;1;2;SEI         ;POLLACHIUS VIRENS;1;4.5;1;1;E;4.5;1;3; ;81;81;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
1987;1;0.517;61.083;3120;803;833;0.5;150;-1;1.6;1;1;1;2;STRØMSILD   ;ARGENTINA SPHYRAENA;1;7.7;193;1;E;7.7;193;3; ;10;25;;23;105;64;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193
1987;1;0.517;61.083;3120;803;833;0.5;150;-1;1.6;1;1;1;2;SYPIKE      ;TRISOPTERUS MINUTUS;-1;-1;1;-1;E;-1;1;3; ;14;14;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1987;1;0.517;61.083;3120;803;833;0.5;150;-1;1.6;1;1;1;2;SØLVTORSK   ;GADICULUS ARGENTEUS;1;0.1;29;1;E;0.1;29;3; ;5;7;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29
1987;1;0.517;61.083;3120;803;833;0.5;150;-1;1.6;1;1;1;2;TORSK       ;GADUS MORHUA;1;60.5;17;1;E;60.5;17;3; ;28;92;;;;;2;2;;;1;;;;4;2;3;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;17
1987;1;0.517;61.083;3120;803;833;0.5;150;-1;1.6;1;1;1;2;VANLIG FLØYF;CALLIONYMUS LYRA;-1;-1;2;-1;E;-1;2;3; ;8;12;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
1987;1;0.517;61.083;3120;803;833;0.5;150;-1;1.6;1;1;1;2;ØYEPÅL      ;TRISOPTERUS ESMARKII;1;5.5;234;1;E;1.6;68;3; ;9;20;2;26;39;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68
