family,genus,species,lme,uni,mergeLME,fao,level,FB_E_Code,source,type.length,taxo,b,a
Callionymidae,Callionymus,maculatus,20,Callionymidae Callionymus maculatus 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Sebastidae,Sebastes,marinus,20,Sebastidae Sebastes marinus 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Cyclopteridae,Cyclopteropsis,mcalpini,20,Cyclopteridae Cyclopteropsis mcalpini 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Sebastidae,Sebastes,mentella,20,Sebastidae Sebastes mentella 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Sebastidae,Sebastes,mentella,21,Sebastidae Sebastes mentella 21,NA,NA,species,NA,NA,NA,NA,3,0.01
Sebastidae,Sebastes,mentella,22,Sebastidae Sebastes mentella 22,NA,NA,species,NA,NA,NA,NA,3,0.01
Liparidae,Careproctus,micropus,20,Liparidae Careproctus micropus 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Liparidae,Careproctus,micropus,21,Liparidae Careproctus micropus 21,NA,NA,species,NA,NA,NA,NA,3,0.01
Gobiidae,Pomatoschistus,minutus,22,Gobiidae Pomatoschistus minutus 22,NA,NA,species,NA,NA,NA,NA,3,0.01
Liparidae,Liparis,montagui,20,Liparidae Liparis montagui 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Zoarcidae,Lycenchelys,muraena,22,Zoarcidae Lycenchelys muraena 22,NA,NA,species,NA,NA,NA,NA,3,0.01
Zoarcidae,Lycenchelys,muraena,20,Zoarcidae Lycenchelys muraena 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Zoarcidae,Lycenchelys,muraena,21,Zoarcidae Lycenchelys muraena 21,NA,NA,species,NA,NA,NA,NA,3,0.01
Lotidae,Ciliata,mustela,20,Lotidae Ciliata mustela 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Triakidae,Mustelus,mustelus,22,Triakidae Mustelus mustelus 22,NA,NA,species,NA,NA,NA,NA,3,0.01
Sebastidae,Sebastes,norvegicus,20,Sebastidae Sebastes norvegicus 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Sebastidae,Sebastes,norvegicus,21,Sebastidae Sebastes norvegicus 21,NA,NA,species,NA,NA,NA,NA,3,0.01
Sebastidae,Sebastes,norvegicus,22,Sebastidae Sebastes norvegicus 22,NA,NA,species,NA,NA,NA,NA,3,0.01
Cottidae,Triglops,nybelini,20,Cottidae Triglops nybelini 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Syngnathidae,Nerophis,ophidion,21,Syngnathidae Nerophis ophidion 21,NA,NA,species,NA,NA,NA,NA,3,0.01
Syngnathidae,Nerophis,ophidion,22,Syngnathidae Nerophis ophidion 22,NA,NA,species,NA,NA,NA,NA,3,0.01
