family,genus,species,lme,uni,mergeLME,fao,level,FB_E_Code,source,type.length,taxo,b,a
Gadidae,Trisopterus,esmarkii,22,Gadidae Trisopterus esmarkii 22,22,27,species,139,fb,TL,spe-LME,3,0.0068
Gadidae,Trisopterus,esmarkii,21,Gadidae Trisopterus esmarkii 21,22,27,species,139,fb,TL,spe-LME,3,0.0068
Liparidae,Liparis,fabricii,20,Liparidae Liparis fabricii 20,22,27,species,232,fb,TL,gen-Ocean,3.077950001,0.014600926
Liparidae,Liparis,fabricii,22,Liparidae Liparis fabricii 22,22,27,species,232,fb,TL,gen-Ocean,3.077950001,0.014600926
Liparidae,Liparis,fabricii,21,Liparidae Liparis fabricii 21,22,27,species,232,fb,TL,gen-Ocean,3.077950001,0.014600926
Gobiidae,Gobiusculus,flavescens,22,Gobiidae Gobiusculus flavescens 22,22,27,species,104,fb,TL,fam-LME,3.052924991,0.0307425
Pleuronectidae,Platichthys,flesus,22,Pleuronectidae Platichthys flesus 22,22,27,species,139,fb,TL,spe-LME,2.89212501,0.016503375
Pleuronectidae,Platichthys,flesus,20,Pleuronectidae Platichthys flesus 20,22,27,species,139,fb,TL,spe-LME,2.89212501,0.016503375
Pleuronectidae,Platichthys,flesus,21,Pleuronectidae Platichthys flesus 21,22,27,species,139,fb,TL,spe-LME,2.89212501,0.016503375
Rajidae,Leucoraja,fullonica,20,Rajidae Leucoraja fullonica 20,22,27,species,139,fb,TL,gen-FAO,3.311000029,0.001916667
Rajidae,Leucoraja,fullonica,21,Rajidae Leucoraja fullonica 21,22,27,species,139,fb,TL,gen-FAO,3.311000029,0.001916667
Rajidae,Leucoraja,fullonica,22,Rajidae Leucoraja fullonica 22,22,27,species,139,fb,TL,gen-FAO,3.311000029,0.001916667
Rajidae,Rajella,fyllae,22,Rajidae Rajella fyllae 22,22,27,species,139,fb,TL,gen-Ocean,3,0.004868698
Rajidae,Rajella,fyllae,20,Rajidae Rajella fyllae 20,22,27,species,139,fb,TL,gen-Ocean,3,0.004868698
Rajidae,Rajella,fyllae,21,Rajidae Rajella fyllae 21,22,27,species,139,fb,TL,gen-Ocean,3,0.004868698
