ScientificName,aphiaID,AphiaID_worms,ScientificName_worms
Gersemia ,NA,146953,Gersemia
Gersemia fru,NA,,
Geryon ,NA,106918,Geryon
Geryonidae,NA,16843,Geryoniidae
Gnathophiuri,NA,,
Gobius niger,NA,277418,Awaous commersoni
Golfingia (g,NA,136021,Golfingia
Gonatus fabr,NA,,
Goneplax rho,NA,,
Gymnelus ,NA,126102,Gymnelus
Haleciidae ,NA,1608,Haleciidae
Halecium ,NA,117103,Halecium
Halecium hal,NA,,
Haliclona,NA,131834,Haliclona
Halophila,NA,144192,Halophila
Hamingia arc,NA,,
Harmothoe,NA,129491,Harmothoe
Heliometra,NA,123353,Heliometra
Heliometra ,NA,123353,Heliometra
Hemithiris,NA,104039,Hemithiris
Henricia,NA,1075631,Psiadia
Henricia ocu,NA,,
Henricia san,NA,,
Heteranomia,NA,137651,Heteranomia
Hiatella,NA,138154,Lyonsia
Hiatella ,NA,138154,Lyonsia
Hirudinea,NA,2041,Hirudinea
Holocephalim,NA,,
Holothuria,NA,135382,Physalia
Hormathia,NA,100757,Hormathia
Hormathia no,NA,,
Hornera,NA,111041,Hornera
Hymenaster,NA,123333,Hymenaster
Hymenaster ,NA,123333,Hymenaster
Hymenodora,NA,107021,Hymenodora
Hyperiidea ,NA,1205,Hyperiidea
Hyperoplus ,NA,125911,Hyperoplus
Hyperoplus immaculatus,NA,126755,Hyperoplus immaculatus
Icasterias,NA,123221,Icasterias
Illex coinde,NA,,
Inachidae,NA,148427,Inachidae
Inachus,NA,106905,Inachus
Inachus lept,NA,,
Indeterminatus,NA,,
Isidella elongata,NA,125373,Isidella elongata
Jorunna tome,NA,,
Karnekampia,NA,393809,Karnekampia
Labrus bergylta,NA,126965,Labrus bergylta
Lacuna palli,NA,,
Laetmonice ,NA,129196,Laetmonice
Lafoea ,NA,117136,Lafoea
Lafoeidae,NA,1609,Lafoeidae
Lamellaria,NA,851131,Lamellidea
Lamellaria,NA,851131,Lamellidea
Laminaria,NA,492535,Resania
Lanice conch,NA,,
Lebbeus,NA,106989,Lebbeus
Lebbeus pola,NA,,
Lepas fascic,NA,,
Lepetidae,NA,1733,Lepetidae
Limacina ,NA,138122,Limacina
Liparis,NA,101430,Caprella
Liponema mul,NA,,
Lithodes ,NA,106845,Lithodes
Loliginidae,NA,11734,Loliginidae
Loligo ,NA,138139,Loligo
Lophaster fu,NA,,
Luidia ,NA,123260,Luidia
Luidia cilia,NA,,
Luidia sarsi,NA,123922,Luidia sarsii
Lumpenus fabricii,NA,127073,Lumpenus fabricii
Lycodes,NA,126104,Lycodes
Lytocarpia,NA,117002,Lytocarpia
Macandrevia,NA,104046,Macandrevia
Macoma calca,NA,,
Macropipus,NA,106926,Macropipus
Macropipus ,NA,106926,Macropipus
Macropodia,NA,205077,Macropodia
Macropodia,NA,205077,Macropodia
Macropodia rostrata,NA,107345,Macropodia rostrata
Magnoliopsid,NA,,
Maldane sars,NA,130305,Maldane sarsi
Maldanidae ,NA,923,Maldanidae
Margarites,NA,138592,Margarites
Margarites ,NA,138592,Margarites
Melitidae,NA,101397,Melitidae
Metridiidae,NA,104092,Metridinidae
Molgula,NA,103509,Molgula
Molpadia ,NA,1075326,Telekia
Molpadia arc,NA,,
Molpadia bor,NA,,
Munida,NA,106835,Munida
Munida tenui,NA,,
Munnopsidae,NA,118264,Munnopsidae
Mustelus asterias,NA,105821,Mustelus asterias
Mya,NA,138211,Mya
Myctophidae,NA,125498,Myctophidae
Myctophiform,NA,,
Myriapoda,NA,1277,Myriapoda
Myriozoella,NA,147023,Myriozoella
Myxomycota,NA,,
Nansenia groenlandica,NA,126725,Nansenia groenlandica
Nemertesia,NA,117195,Nemertesia
Nemertesia,NA,117195,Nemertesia
Nephtheidae,NA,146762,Nephtheidae
Nephtyidae ,NA,956,Nephtyidae
Nephtys,NA,129370,Nephtys
Neptunea com,NA,,
Neptunea den,NA,,
Nereididae ,NA,22496,Nereididae
Nerophis ophidion,NA,127385,Nerophis ophidion
Nothria,NA,129402,Nothria
Nothria conc,NA,,
Nucula ,NA,138262,Nucula
Nucula sulcata,NA,722857,Linucula hartvigiana
Nuda   ,NA,1250,Nuda
Nymphon,NA,134591,Nymphon
Nymphon grac,NA,,
Nymphon hirt,NA,,
Nymphon stro,NA,,
Nymphonidae,NA,1566,Nymphonidae
Octopodidae,NA,11782,Octopodidae
Octopus,NA,138268,Octopus
Octopus vulg,NA,140605,Octopus vulgaris
Oedicerotida,NA,,
Oegopsina,NA,11730,Oegopsida
Oncaea borea,NA,,
Onchidoridid,NA,,
Onchidoris ,NA,138288,Onchidoris
Oncorhynchus gorbuscha,NA,127182,Oncorhynchus gorbuscha
Onuphidae,NA,965,Onuphidae
Ophelina ,NA,129414,Ophelina
Ophelina acu,NA,,
Ophiocten,NA,123561,Ophiocten
Ophiocten se,NA,,
Ophiothrix,NA,603698,Ophiothrix
Ophiothrix,NA,603698,Ophiothrix
Ophiura,NA,123574,Ophiura
Ophiura albi,NA,,
Ophiura ophi,NA,,
Ophiura robu,NA,,
Ophiura sars,NA,124934,Ophiura sarsii
Ophiurida,NA,123117,Ophiurida
Ophiuridae ,NA,123200,Ophiuridae
Ostrea edulis,NA,140658,Ostrea edulis
Paguroidea ,NA,106687,Paguroidea
Pagurus,NA,106854,Pagurus
Pagurus alat,NA,,
Pagurus cuan,NA,,
Pagurus cuanensis,NA,411874,Pagurus cuanensis
Pagurus pube,NA,,
Palicus caronii,NA,107466,Palicus caronii
Pandalidae ,NA,106789,Pandalidae
Pandalus ,NA,107044,Pandalus
Parastichopu,NA,,
Pecten ,NA,138323,Pecten
Pectinaria ,NA,887519,Pectinaria
Pelonaia cor,NA,,
Pennatula,NA,135648,Pennella
Periphylla ,NA,135252,Periphylla
Petromyzon marinus,NA,101174,Petromyzon marinus
Petromyzontidae,NA,101163,Petromyzontidae
Phakellia,NA,131779,Phakellia
Phascolion ,NA,136025,Phascolion
Philine,NA,138339,Philine
Philine aperta,NA,574582,Philine quadripartita
Philine finm,NA,,
Phyllophorid,NA,,
Pilumnidae ,NA,106766,Pilumnidae
Pilumnus,NA,106941,Pilumnus
Pilumnus hirtellus,NA,107418,Pilumnus hirtellus
Pilumnus spinifer,NA,107420,Pilumnus spinifer
Polinices,NA,147109,Polinices
Polyclinum,NA,103474,Polyclinum
Polymastia ,NA,132046,Polymastia
Polynoidae ,NA,939,Polynoidae
Polyphysia ,NA,129553,Polyphysia
Pontaster,NA,123244,Pontaster
Pontaster te,NA,,
Porania,NA,123320,Porania
Porania pulvillus,NA,125166,Porania (Porania) pulvillus
Portunidae ,NA,106763,Portunidae
Portunoidea,NA,106702,Portunoidea
Priapula,NA,270500,Priapella
Pseudosimnia adriatica,NA,430587,Pseudosimnia adriatica
Psolus ,NA,123456,Holothuria
Pteraster,NA,123335,Pteraster
Pteraster mi,NA,,
Pteraster ob,NA,,
Pteraster pu,NA,,
Ptychogena ,NA,117143,Ptychogena
Radiella ,NA,170671,Radiella
Radiella gri,NA,,
Radiella hem,NA,,
Raja brachyura,NA,271509,Bathyraja brachyurops
Rajella fyllae,NA,105894,Rajella fyllae
Retepora ,NA,110956,Reteporella
Retepora bea,NA,,
Reteporella,NA,110956,Reteporella
Retusa ,NA,138432,Retusa
Rhynchonelli,NA,,
Rocinela ,NA,118396,Rocinela
Rossia ,NA,138481,Rossia
Rossia glauc,NA,,
Rossia macro,NA,,
Rossia moell,NA,,
Rossia palpe,NA,,
Sabellida,NA,901,Sabellida
Sabinea sars,NA,107566,Sabinea sarsii
Sabinea sept,NA,,
Saduria,NA,118451,Saduria
Sagartiidae,NA,100681,Sagartiidae
Sagitta,NA,105410,Sagitta
Salmo salar,NA,127186,Salmo salar
Sarsia ,NA,117070,Sarsia
Scaphander,NA,137871,Scaphander
Scaphander ,NA,137871,Scaphander
Schedophilus medusophagus,NA,126833,Schedophilus medusophagus
Sclerocrango,NA,,
Scyliorhinidae,NA,105693,Scyliorhinidae
Sedentaria ,NA,754175,Sedentaria
Semaeognathi,NA,,
Sepia  ,NA,138477,Sepia
Sepia elegan,NA,141443,Sepia elegans
Sepia offici,NA,141444,Sepia officinalis
Sepietta ,NA,138482,Sepietta
Sepietta neg,NA,141450,Sepietta neglecta
Sepietta owe,NA,141452,Sepietta oweniana
Sepiida,NA,11713,Sepiida
Sepiidae ,NA,11723,Sepiidae
Sepiola,NA,138483,Sepiola
Sepiola atla,NA,141454,Sepiola atlantica
Sepiola ligu,NA,1437787,Adinaefiola ligulata
Sepiola trid,NA,138483,Sepiola
Sepiolidae ,NA,11725,Sepiolidae
Sergestes,NA,106829,Sergestes
Serpula verm,NA,,
Sertella bea,NA,,
Sertulariida,NA,,
Solaster ,NA,123338,Solaster
Solaster gla,NA,,
Solea solea,NA,127160,Solea solea
Spatangidae,NA,123177,Spatangidae
Spatangus,NA,123430,Spatangus
Spatangus pu,NA,,
Spionida ,NA,889,Spionida
Stegocephali,NA,,
Stomphia coc,NA,,
Styela ,NA,103543,Styela
Styelidae,NA,103450,Styelidae
Suberites,NA,132072,Suberites
Suberites fi,NA,,
Synaphobranchidae,NA,125436,Synaphobranchidae
Synoicum pul,NA,,
Tentorium se,NA,,
Terebellidae,NA,411720,Seraphsidae
Terebratelli,NA,,
Terebratulac,NA,,
Teredo norva,NA,,
Tethya ,NA,132077,Tethya
Tetilla,NA,132095,Tetilla
Tetilla poly,NA,,
Themisto ,NA,101800,Themisto
Themisto lib,NA,,
Thenea muric,NA,,
Thoracica,NA,1107,Thoracica
Thuiaria thu,NA,,
Thyonidium ,NA,123503,Thyonidium
Timoclea ,NA,138646,Timoclea
Timoclea ova,NA,,
Todarodes,NA,138281,Todarodes
Todarodes sa,NA,,
Todaropsis,NA,138282,Todaropsis
Trigoniidae,NA,492171,Trigoniidae
Tubularia,NA,326063,Tubularia
Tubularia in,NA,,
Turrisipho,NA,137714,Turrisipho
Turrisipho ,NA,137714,Turrisipho
Turritella,NA,996329,Discula
Umbellula en,NA,,
Urasterias,NA,123231,Urasterias
Urasterias ,NA,123231,Urasterias
Urticina ,NA,100706,Urticina
Virgularia,NA,128503,Virgularia
Xanthidae,NA,106769,Xanthidae
Yoldia ,NA,138672,Yoldia
Yoldia hyper,NA,,
Yoldiella,NA,138673,Yoldiella
Zeus faber ,NA,127427,Zeus faber
Zoantharia ,NA,1340,Hexacorallia
Zoanthidea ,NA,607338,Zoantharia
