aar;mnd;lengde;bredde;redskap;starttid;stopptid;taueT;bunndyp;opening;dist;tilstand;kvalitet;delnr;akode;art;latin;maal_fangst;fangstKvant;fangstAnt;maal_lprov;lengdemaal;lengdeProveKv;lengdeProveAnt;interv;kjonn;Min;Max;L000_009;L010_014;L015_019;L020_024;L025_029;L030_034;L035_039;L040_044;L045_049;L050_054;L055_059;L060_064;L065_069;L070_074;L075_079;L080_084;L085_089;L090_094;L095_099;L100_104;L105_109;L110_114;L115_119;L120_124;L125_129;L130_134;L135_139;L140_144;L145_149;L150_154;L155_159;L160_164;L165_169;L170_174;L175_179;L180_184;L185_189;L190_194;L195_199;L200_999;L1000_9999;Sum
2015;1;8.123;58.033;3271;856;910;0.23;170;30;0.5;1;4;1;2;BLÅKJEFT    ;HELICOLENUS DACTYLOPTERUS;1;0.885;1;1;E;0.885;1;2; ;36;36;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2015;1;8.123;58.033;3271;856;910;0.23;170;30;0.5;1;4;1;2;DYPVANNSREKE;PANDALUS BOREALIS;1;3.14;853;1;C;1.17;318;7;9;0.97;2.58;318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;318
2015;1;8.123;58.033;3271;856;910;0.23;170;30;0.5;1;4;1;2;FIRETRÅDET T;ENCHELYOPUS CIMBRIUS;1;0.025;1;1;E;0.025;1;2; ;17;17;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2015;1;8.123;58.033;3271;856;910;0.23;170;30;0.5;1;4;1;2;GAPEFLYNDRE ;HIPPOGLOSSOIDES PLATESSOIDES;1;0.255;4;1;E;0.255;4;2; ;14.5;25;;1;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
2015;1;8.123;58.033;3271;856;910;0.23;170;30;0.5;1;4;1;2;HAVMUS      ;CHIMAERA MONSTROSA;1;13.78;30;1;H;13.78;30;3; ;10.5;56;;3;3;9;4;1;;3;2;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30
2015;1;8.123;58.033;3271;856;910;0.23;170;30;0.5;1;4;1;2;HESTMAKRELL ;TRACHURUS TRACHURUS;1;0.015;1;1;F;0.015;1;2; ;11.5;11.5;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2015;1;8.123;58.033;3271;856;910;0.23;170;30;0.5;1;4;1;2;HVITTING    ;MERLANGIUS MERLANGUS;1;0.06;1;1;E;0.06;1;2; ;19;19;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2015;1;8.123;58.033;3271;856;910;0.23;170;30;0.5;1;4;1;2;LAKSESILD   ;MAUROLICUS MUELLERI;1;0.002;1;1;J;0.002;1;2; ;5.5;5.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2015;1;8.123;58.033;3271;856;910;0.23;170;30;0.5;1;4;1;2;LYSING      ;MERLUCCIUS MERLUCCIUS;1;0.01;1;1;E;0.01;1;2; ;11.5;11.5;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2015;1;8.123;58.033;3271;856;910;0.23;170;30;0.5;1;4;1;3;PARASTICHOPU;PARASTICHOPU;1;0.1;1;1;E;0.1;1;2; ;13;13;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2015;1;8.123;58.033;3271;856;910;0.23;170;30;0.5;1;4;1;2;PIGGHÅ      ;SQUALUS ACANTHIAS;1;0.405;1;1;E;0.405;1;2; ;46;46;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2015;1;8.123;58.033;3271;856;910;0.23;170;30;0.5;1;4;1;2;RØDSPETTE   ;PLEURONECTES PLATESSA;1;0.06;1;1;E;0.06;1;2; ;17;17;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2015;1;8.123;58.033;3271;856;910;0.23;170;30;0.5;1;4;1;2;SANDFLYNDRE ;LIMANDA LIMANDA;1;0.035;1;1;E;0.035;1;2; ;16;16;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2015;1;8.123;58.033;3271;856;910;0.23;170;30;0.5;1;4;1;2;SILD        ;CLUPEA HARENGUS;1;0.03;2;1;E;0.03;2;2; ;10.5;14;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
2015;1;8.123;58.033;3271;856;910;0.23;170;30;0.5;1;4;1;2;SLIMÅL      ;MYXINE GLUTINOSA;1;0.015;1;1;E;0.015;1;2; ;21.5;21.5;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2015;1;8.123;58.033;3271;856;910;0.23;170;30;0.5;1;4;1;2;SMØRFLYNDRE ;GLYPTOCEPHALUS CYNOGLOSSUS;1;1.14;6;1;E;1.14;6;2; ;21.5;37;;;;1;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
2015;1;8.123;58.033;3271;856;910;0.23;170;30;0.5;1;4;1;2;SVARTHÅ     ;ETMOPTERUS SPINAX;1;1.76;32;1;E;1.76;32;2;2;12.5;45.5;;9;17;1;2;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32
2015;1;8.123;58.033;3271;856;910;0.23;170;30;0.5;1;4;1;2;SYPIKE      ;TRISOPTERUS MINUTUS;1;0.045;1;1;E;0.045;1;2; ;15.5;15.5;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2015;1;8.123;58.033;3271;856;910;0.23;170;30;0.5;1;4;1;2;VANLIG ÅLEBR;LYCODES GRACILIS;1;0.04;3;1;E;0.04;3;2; ;13;16;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
2015;1;8.123;58.033;3271;856;910;0.23;170;30;0.5;1;4;1;2;VASSILD     ;ARGENTINA SILUS;1;0.12;2;1;E;0.12;2;2; ;17;23;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
2015;1;8.123;58.033;3271;856;910;0.23;170;30;0.5;1;4;1;8;158351;            ;9;0.016;-1;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;1;8.123;58.033;3271;856;910;0.23;170;30;0.5;1;4;1;2;BRISLING    ;SPRATTUS SPRATTUS;1;0.02;-1;1;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
