aar;mnd;lengde;bredde;redskap;starttid;stopptid;taueT;bunndyp;opening;dist;tilstand;kvalitet;delnr;akode;art;latin;maal_fangst;fangstKvant;fangstAnt;maal_lprov;lengdemaal;lengdeProveKv;lengdeProveAnt;interv;kjonn;Min;Max;L000_009;L010_014;L015_019;L020_024;L025_029;L030_034;L035_039;L040_044;L045_049;L050_054;L055_059;L060_064;L065_069;L070_074;L075_079;L080_084;L085_089;L090_094;L095_099;L100_104;L105_109;L110_114;L115_119;L120_124;L125_129;L130_134;L135_139;L140_144;L145_149;L150_154;L155_159;L160_164;L165_169;L170_174;L175_179;L180_184;L185_189;L190_194;L195_199;L200_999;L1000_9999;Sum
1993;1;19.9;71.133;3236;935;1005;0.5;206;-1;1.5;1;1;1;2;BROSME      ;BROSME BROSME;1;11.62;24;1;E;11.62;24;3; ;24;49;;;;1;5;4;6;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24
1993;1;19.9;71.133;3236;935;1005;0.5;206;-1;1.5;1;1;1;2;GAPEFLYNDRE ;HIPPOGLOSSOIDES PLATESSOIDES;1;1.9;39;1;E;1.9;39;3; ;8;31;4;15;10;3;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39
1993;1;19.9;71.133;3236;935;1005;0.5;206;-1;1.5;1;1;1;2;GRÅSTEINBIT ;ANARHICHAS LUPUS;1;2.17;1;1;E;2.17;1;3; ;61;61;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1993;1;19.9;71.133;3236;935;1005;0.5;206;-1;1.5;1;1;1;2;HYSE        ;MELANOGRAMMUS AEGLEFINUS;1;42.96;373;1;E;42.96;373;3; ;14;65;;10;280;15;19;28;9;5;4;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;373
1993;1;19.9;71.133;3236;935;1005;0.5;206;-1;1.5;1;1;1;2;KOLMULE     ;MICROMESISTIUS POUTASSOU;1;0.275;2;1;E;0.275;2;2; ;27.5;29;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
1993;1;19.9;71.133;3236;935;1005;0.5;206;-1;1.5;1;1;1;2;LOMRE       ;MICROSTOMUS KITT;1;0.315;1;1;E;0.315;1;3; ;32;32;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1993;1;19.9;71.133;3236;935;1005;0.5;206;-1;1.5;1;1;1;2;LYSING      ;MERLUCCIUS MERLUCCIUS;1;0.7;2;1;E;0.7;2;3; ;32;38;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
1993;1;19.9;71.133;3236;935;1005;0.5;206;-1;1.5;1;1;1;2;SEI         ;POLLACHIUS VIRENS;1;11.86;10;1;E;11.86;10;3; ;33;74;;;;;;1;;1;2;3;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;10
1993;1;19.9;71.133;3236;935;1005;0.5;206;-1;1.5;1;1;1;2;SNABELUER   ;SEBASTES MENTELLA;1;1.535;20;1;E;1.535;20;3; ;11;23;;8;8;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20
1993;1;19.9;71.133;3236;935;1005;0.5;206;-1;1.5;1;1;1;2;TORSK       ;GADUS MORHUA;1;103.7;47;1;E;103.7;47;3; ;13;101;;1;;;;2;8;1;2;7;10;5;;3;1;3;2;1;;1;;;;;;;;;;;;;;;;;;;;;;47
1993;1;19.9;71.133;3236;935;1005;0.5;206;-1;1.5;1;1;1;2;UERSLEKTEN  ;SEBASTES;1;3.54;456;1;E;0.505;65;3; ;6;12;58;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65
1993;1;19.9;71.133;3236;935;1005;0.5;206;-1;1.5;1;1;1;2;VANLIG UER  ;SEBASTES NORVEGICUS;1;51.2;204;1;E;25.04;100;3; ;22;53;;;;4;29;42;12;10;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100
1993;1;19.9;71.133;3236;935;1005;0.5;206;-1;1.5;1;1;1;2;VASSILD     ;ARGENTINA SILUS;1;3.845;129;1;E;1.605;54;3; ;11;27;;16;24;13;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54
1993;1;19.9;71.133;3236;935;1005;0.5;206;-1;1.5;1;1;1;2;KNURRULKESLE;TRIGLOPS;1;0.02;4;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993;1;19.9;71.133;3236;935;1005;0.5;206;-1;1.5;1;1;1;2;KROKULKE    ;ARTEDIELLUS ATLANTICUS;1;0.005;1;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993;1;19.9;71.133;3236;935;1005;0.5;206;-1;1.5;1;1;1;2;LUSUER      ;SEBASTES VIVIPARUS;1;8.2;-1;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993;1;19.9;71.133;3236;935;1005;0.5;206;-1;1.5;1;1;1;2;SØLVTORSK   ;GADICULUS ARGENTEUS;1;0.035;6;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993;1;19.9;71.133;3236;935;1005;0.5;206;-1;1.5;1;1;1;2;ØYEPÅL      ;TRISOPTERUS ESMARKII;1;5.3;220;1;E;1.4;58;3; ;10;21;;20;36;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58
1993;1;19.383;73.65;3236;1100;1130;0.5;360;-1;1.5;1;1;1;2;BLÅKVEITE   ;REINHARDTIUS HIPPOGLOSSOIDES;1;20.3;11;1;E;20.3;11;3; ;36;66;;;;;;;1;;2;1;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11
1993;1;19.383;73.65;3236;1100;1130;0.5;360;-1;1.5;1;1;1;2;FLEKKSTEINBI;ANARHICHAS MINOR;1;20.86;4;1;E;20.86;4;3; ;76;86;;;;;;;;;;;;;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;4
1993;1;19.383;73.65;3236;1100;1130;0.5;360;-1;1.5;1;1;1;2;GAPEFLYNDRE ;HIPPOGLOSSOIDES PLATESSOIDES;1;17.2;84;1;E;17.2;84;3; ;12;43;;1;4;12;38;20;3;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84
1993;1;19.383;73.65;3236;1100;1130;0.5;360;-1;1.5;1;1;1;2;HYSE        ;MELANOGRAMMUS AEGLEFINUS;1;7.5;42;1;E;7.5;42;3; ;11;48;;11;10;2;3;10;3;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42
1993;1;19.383;73.65;3236;1100;1130;0.5;360;-1;1.5;1;1;1;2;KOLMULE     ;MICROMESISTIUS POUTASSOU;1;2.5;5;1;E;2.5;5;2; ;36;38.5;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
1993;1;19.383;73.65;3236;1100;1130;0.5;360;-1;1.5;1;1;1;2;LODDE       ;MALLOTUS VILLOSUS;1;2.1;93;1;E;2.1;93;2; ;13.5;18;;5;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93
1993;1;19.383;73.65;3236;1100;1130;0.5;360;-1;1.5;1;1;1;2;SNABELUER   ;SEBASTES MENTELLA;1;4.64;143;1;E;4.64;143;3; ;9;22;2;89;46;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143
1993;1;19.383;73.65;3236;1100;1130;0.5;360;-1;1.5;1;1;1;2;TORSK       ;GADUS MORHUA;1;280.1;367;1;E;280.1;367;3; ;9;86;4;67;5;5;4;25;72;36;34;56;36;6;6;5;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;367
1993;1;19.383;73.65;3236;1100;1130;0.5;360;-1;1.5;1;1;1;2;DYPVANNSREKE;PANDALUS BOREALIS;1;15;-1;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993;1;19.383;73.65;3236;1100;1130;0.5;360;-1;1.5;1;1;1;2;KLOSKATE    ;AMBLYRAJA RADIATA;1;17.66;14;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993;1;19.383;73.65;3236;1100;1130;0.5;360;-1;1.5;1;1;1;2;KROKULKE    ;ARTEDIELLUS ATLANTICUS;-1;-1;3;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993;1;19.383;73.65;3236;1100;1130;0.5;360;-1;1.5;1;1;1;2;ROGNKJEKS   ;CYCLOPTERUS LUMPUS;-1;-1;1;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993;1;19.383;73.65;3236;1100;1130;0.5;360;-1;1.5;1;1;1;2;ROGNKJEKSFAM;CYCLOPTERIDAE;-1;-1;1;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
