aar;mnd;lengde;bredde;redskap;starttid;stopptid;taueT;bunndyp;opening;dist;tilstand;kvalitet;delnr;akode;art;latin;maal_fangst;fangstKvant;fangstAnt;maal_lprov;lengdemaal;lengdeProveKv;lengdeProveAnt;interv;kjonn;Min;Max;L000_009;L010_014;L015_019;L020_024;L025_029;L030_034;L035_039;L040_044;L045_049;L050_054;L055_059;L060_064;L065_069;L070_074;L075_079;L080_084;L085_089;L090_094;L095_099;L100_104;L105_109;L110_114;L115_119;L120_124;L125_129;L130_134;L135_139;L140_144;L145_149;L150_154;L155_159;L160_164;L165_169;L170_174;L175_179;L180_184;L185_189;L190_194;L195_199;L200_999;L1000_9999;Sum
1995;1;30.367;70.033;3270;1325;1355;0.5;190;32;1.6;1;1;1;2;BROSME      ;BROSME BROSME;1;0.485;2;1;E;0.485;2;3; ;27;34;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
1995;1;30.367;70.033;3270;1325;1355;0.5;190;32;1.6;1;1;1;2;GAPEFLYNDRE ;HIPPOGLOSSOIDES PLATESSOIDES;1;2;40;1;E;2;40;3; ;4;41;18;5;8;5;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40
1995;1;30.367;70.033;3270;1325;1355;0.5;190;32;1.6;1;1;1;2;GRÅSTEINBIT ;ANARHICHAS LUPUS;1;0.005;1;1;E;0.005;1;3; ;8;8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1995;1;30.367;70.033;3270;1325;1355;0.5;190;32;1.6;1;1;1;2;HYSE        ;MELANOGRAMMUS AEGLEFINUS;1;18.52;434;1;E;5.12;120;3; ;14;36;;5;103;8;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120
1995;1;30.367;70.033;3270;1325;1355;0.5;190;32;1.6;1;1;1;2;LODDE       ;MALLOTUS VILLOSUS;1;0.02;3;1;E;0.02;3;2; ;10.5;14;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
1995;1;30.367;70.033;3270;1325;1355;0.5;190;32;1.6;1;1;1;2;LUSUER      ;SEBASTES VIVIPARUS;1;0.29;10;1;E;0.29;10;3; ;9;15;3;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10
1995;1;30.367;70.033;3270;1325;1355;0.5;190;32;1.6;1;1;1;2;RØDSPETTE   ;PLEURONECTES PLATESSA;1;1.104;2;1;E;1.104;2;3; ;34;39;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
1995;1;30.367;70.033;3270;1325;1355;0.5;190;32;1.6;1;1;1;2;SEI         ;POLLACHIUS VIRENS;1;8.1;37;1;E;8.1;37;3; ;17;45;;;2;1;24;5;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37
1995;1;30.367;70.033;3270;1325;1355;0.5;190;32;1.6;1;1;1;2;TORSK       ;GADUS MORHUA;1;10.94;186;1;E;10.94;186;3; ;8;37;14;99;8;35;13;13;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;186
1995;1;30.367;70.033;3270;1325;1355;0.5;190;32;1.6;1;1;1;2;UERSLEKTEN  ;SEBASTES;1;0.02;8;1;E;0.02;8;3; ;6;7;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8
1995;1;30.367;70.033;3270;1325;1355;0.5;190;32;1.6;1;1;1;2;VANLIG UER  ;SEBASTES NORVEGICUS;1;7.4;56;1;E;7.4;56;3; ;11;32;;3;17;25;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56
1995;1;30.367;70.033;3270;1325;1355;0.5;190;32;1.6;1;1;1;2;DYPVANNSREKE;PANDALUS BOREALIS;1;2.54;-1;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
