aar;mnd;lengde;bredde;redskap;starttid;stopptid;taueT;bunndyp;opening;dist;tilstand;kvalitet;delnr;akode;art;latin;maal_fangst;fangstKvant;fangstAnt;maal_lprov;lengdemaal;lengdeProveKv;lengdeProveAnt;interv;kjonn;Min;Max;L000_009;L010_014;L015_019;L020_024;L025_029;L030_034;L035_039;L040_044;L045_049;L050_054;L055_059;L060_064;L065_069;L070_074;L075_079;L080_084;L085_089;L090_094;L095_099;L100_104;L105_109;L110_114;L115_119;L120_124;L125_129;L130_134;L135_139;L140_144;L145_149;L150_154;L155_159;L160_164;L165_169;L170_174;L175_179;L180_184;L185_189;L190_194;L195_199;L200_999;L1000_9999;Sum
2004;2;1.312;60.773;3120;1238;1314;0.6;144;-1;1.6;1;1;1;2;AKKAR       ;OMMASTREPHIDAE;1;3.12;6;1;B;3.12;6;3; ;10;53;;2;2;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
2004;2;1.312;60.773;3120;1238;1314;0.6;144;-1;1.6;1;1;1;2;BREIFLABB   ;LOPHIUS PISCATORIUS;1;0.29;1;1;E;0.29;1;3; ;25;25;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2004;2;1.312;60.773;3120;1238;1314;0.6;144;-1;1.6;1;1;1;2;BROSME      ;BROSME BROSME;1;2.78;2;1;E;2.78;2;3; ;50;53;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
2004;2;1.312;60.773;3120;1238;1314;0.6;144;-1;1.6;1;1;1;2;GAPEFLYNDRE ;HIPPOGLOSSOIDES PLATESSOIDES;1;15.04;358;1;E;2.145;51;3; ;10;22;;9;32;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51
2004;2;1.312;60.773;3120;1238;1314;0.6;144;-1;1.6;1;1;1;2;GLASSVAR    ;LEPIDORHOMBUS WHIFFIAGONIS;1;2.34;12;1;E;2.34;12;3; ;22;45;;;;3;5;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12
2004;2;1.312;60.773;3120;1238;1314;0.6;144;-1;1.6;1;1;1;2;HVITTING    ;MERLANGIUS MERLANGUS;1;11.86;35;1;E;11.86;35;3; ;28;47;;;;;6;17;10;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35
2004;2;1.312;60.773;3120;1238;1314;0.6;144;-1;1.6;1;1;1;2;HYSE        ;MELANOGRAMMUS AEGLEFINUS;1;25.66;60;1;E;25.66;60;3; ;17;40;;;2;;3;19;35;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60
2004;2;1.312;60.773;3120;1238;1314;0.6;144;-1;1.6;1;1;1;2;KLOSKATE    ;AMBLYRAJA RADIATA;1;2.9;6;1;E;2.9;6;3; ;27;46;;;;;1;;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
2004;2;1.312;60.773;3120;1238;1314;0.6;144;-1;1.6;1;1;1;2;KNURR       ;EUTRIGLA GURNARDUS;1;8.68;56;1;E;4.34;28;3; ;19;37;;;1;15;8;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28
2004;2;1.312;60.773;3120;1238;1314;0.6;144;-1;1.6;1;1;1;2;LANGE       ;MOLVA MOLVA;1;0.555;1;1;E;0.555;1;3; ;48;48;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
