aar;mnd;lengde;bredde;redskap;starttid;stopptid;taueT;bunndyp;opening;dist;tilstand;kvalitet;delnr;akode;art;latin;maal_fangst;fangstKvant;fangstAnt;maal_lprov;lengdemaal;lengdeProveKv;lengdeProveAnt;interv;kjonn;Min;Max;L000_009;L010_014;L015_019;L020_024;L025_029;L030_034;L035_039;L040_044;L045_049;L050_054;L055_059;L060_064;L065_069;L070_074;L075_079;L080_084;L085_089;L090_094;L095_099;L100_104;L105_109;L110_114;L115_119;L120_124;L125_129;L130_134;L135_139;L140_144;L145_149;L150_154;L155_159;L160_164;L165_169;L170_174;L175_179;L180_184;L185_189;L190_194;L195_199;L200_999;L1000_9999;Sum
2001;6;6.552;58.167;3246;2050;2135;0.75;275;68;1.6;1;1;1;2;BREIFLABB   ;LOPHIUS PISCATORIUS;1;2.734;1;1;E;2.734;1;3; ;55;55;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2001;6;6.552;58.167;3246;2050;2135;0.75;275;68;1.6;1;1;1;2;DYPVANNSREKE;PANDALUS BOREALIS;1;23.3;9345;1;C;0.758;304;1;H;1.1;2.4;304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;304
2001;6;6.552;58.167;3246;2050;2135;0.75;275;68;1.6;1;1;1;2;FIRETRÅDET T;ENCHELYOPUS CIMBRIUS;1;0.242;3;1;E;0.242;3;3; ;25;27;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
2001;6;6.552;58.167;3246;2050;2135;0.75;275;68;1.6;1;1;1;2;HVITTING    ;MERLANGIUS MERLANGUS;1;0.005;2;1;E;0.005;2;3; ;6;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
2001;6;6.552;58.167;3246;2050;2135;0.75;275;68;1.6;1;1;1;2;HYSE        ;MELANOGRAMMUS AEGLEFINUS;1;0.103;3;1;E;0.103;3;3; ;7;22;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
2001;6;6.552;58.167;3246;2050;2135;0.75;275;68;1.6;1;1;1;2;KOLMULE     ;MICROMESISTIUS POUTASSOU;1;21;136;1;E;10.162;66;3; ;21;39;;;;3;42;14;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66
2001;6;6.552;58.167;3246;2050;2135;0.75;275;68;1.6;1;1;1;2;LAKSESILD   ;MAUROLICUS MUELLERI;1;0.02;11;1;J;0.02;11;3; ;5;7;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11
2001;6;6.552;58.167;3246;2050;2135;0.75;275;68;1.6;1;1;1;2;LOMRE       ;MICROSTOMUS KITT;1;0.047;1;1;E;0.047;1;3; ;18;18;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2001;6;6.552;58.167;3246;2050;2135;0.75;275;68;1.6;1;1;1;2;LYSING      ;MERLUCCIUS MERLUCCIUS;1;0.01;1;1;E;0.01;1;3; ;13;13;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2001;6;6.552;58.167;3246;2050;2135;0.75;275;68;1.6;1;1;1;2;PIGGHÅ      ;SQUALUS ACANTHIAS;1;1.093;1;1;E;1.093;1;3; ;64;64;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2001;6;6.552;58.167;3246;2050;2135;0.75;275;68;1.6;1;1;1;2;SEI         ;POLLACHIUS VIRENS;1;2.092;4;1;E;2.092;4;3; ;38;41;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
2001;6;6.552;58.167;3246;2050;2135;0.75;275;68;1.6;1;1;1;2;SJØKREPS    ;NEPHROPS NORVEGICUS;1;0.455;3;1;C;0.455;3;1;2;5.8;5.9;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
2001;6;6.552;58.167;3246;2050;2135;0.75;275;68;1.6;1;1;1;2;SMØRFLYNDRE ;GLYPTOCEPHALUS CYNOGLOSSUS;1;0.233;4;1;E;0.233;4;3; ;15;27;;;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
2001;6;6.552;58.167;3246;2050;2135;0.75;275;68;1.6;1;1;1;2;SVARTHÅ     ;ETMOPTERUS SPINAX;1;0.37;5;1;E;0.37;5;3; ;14;44;;1;3;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
2001;6;6.552;58.167;3246;2050;2135;0.75;275;68;1.6;1;1;1;2;SØLVTORSK   ;GADICULUS ARGENTEUS;1;0.055;1;1;E;0.055;1;3; ;16;16;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2001;6;6.552;58.167;3246;2050;2135;0.75;275;68;1.6;1;1;1;2;VASSILD     ;ARGENTINA SILUS;1;1.542;8;1;E;1.542;8;3; ;15;33;;;1;;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8
2001;6;6.552;58.167;3246;2050;2135;0.75;275;68;1.6;1;1;1;2;BLOMSTERREKE;PANDALUS MONTAGUI;1;0.02;-1;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;6;6.552;58.167;3246;2050;2135;0.75;275;68;1.6;1;1;1;2;MUDDERREKER ;PONTOPHILUS;1;0.615;-1;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;6;6.552;58.167;3246;2050;2135;0.75;275;68;1.6;1;1;1;2;ØYEPÅL      ;TRISOPTERUS ESMARKII;1;0.4;15;1;E;0.4;15;3; ;12;19;;9;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15
2001;6;5.89;58.093;3246;215;315;1;316;69;2;1;1;1;2;BREIFLABB   ;LOPHIUS PISCATORIUS;1;6.04;1;1;E;6.04;1;3; ;77;77;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2001;6;5.89;58.093;3246;215;315;1;316;69;2;1;1;1;2;DYPVANNSREKE;PANDALUS BOREALIS;1;25;3626;1;C;1.303;189;1;H;1.1;2.9;189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;189
2001;6;5.89;58.093;3246;215;315;1;316;69;2;1;1;1;2;FIRETRÅDET T;ENCHELYOPUS CIMBRIUS;1;0.272;3;1;E;0.272;3;3; ;22;31;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
2001;6;5.89;58.093;3246;215;315;1;316;69;2;1;1;1;2;HAVMUS      ;CHIMAERA MONSTROSA;1;0.077;2;1;H;0.077;2;3; ;10;22;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
2001;6;5.89;58.093;3246;215;315;1;316;69;2;1;1;1;2;HVITTING    ;MERLANGIUS MERLANGUS;1;0.001;1;1;E;0.001;1;3; ;7;7;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2001;6;5.89;58.093;3246;215;315;1;316;69;2;1;1;1;2;KOLMULE     ;MICROMESISTIUS POUTASSOU;1;30;244;1;E;16.24;132;3; ;18;40;;;2;77;23;17;12;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;132
2001;6;5.89;58.093;3246;215;315;1;316;69;2;1;1;1;2;LYSING      ;MERLUCCIUS MERLUCCIUS;1;4.515;1;1;E;4.515;1;3; ;83;83;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
2001;6;5.89;58.093;3246;215;315;1;316;69;2;1;1;1;2;SEI         ;POLLACHIUS VIRENS;1;0.976;2;1;E;0.976;2;3; ;37;38;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
2001;6;5.89;58.093;3246;215;315;1;316;69;2;1;1;1;2;SJØKREPS    ;NEPHROPS NORVEGICUS;1;0.1;1;1;C;0.1;1;1;2;5.3;5.3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2001;6;5.89;58.093;3246;215;315;1;316;69;2;1;1;1;2;SKOLEST     ;CORYPHAENOIDES RUPESTRIS;1;3.225;5;1;G;3.225;5;3; ;13;15;;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
2001;6;5.89;58.093;3246;215;315;1;316;69;2;1;1;1;2;SMØRFLYNDRE ;GLYPTOCEPHALUS CYNOGLOSSUS;1;0.075;1;1;E;0.075;1;3; ;24;24;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2001;6;5.89;58.093;3246;215;315;1;316;69;2;1;1;1;2;SVARTHÅ     ;ETMOPTERUS SPINAX;1;2.347;50;1;E;2.347;50;3; ;13;47;;4;28;11;4;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50
2001;6;5.89;58.093;3246;215;315;1;316;69;2;1;1;1;2;SØLVTORSK   ;GADICULUS ARGENTEUS;1;0.324;10;1;E;0.324;10;3; ;13;20;;2;7;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10
2001;6;5.89;58.093;3246;215;315;1;316;69;2;1;1;1;2;TORSK       ;GADUS MORHUA;1;20.67;2;1;E;20.67;2;3; ;95;101;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;2
2001;6;5.89;58.093;3246;215;315;1;316;69;2;1;1;1;2;VASSILD     ;ARGENTINA SILUS;1;24;92;1;E;24;92;3; ;25;36;;;;;16;68;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92
2001;6;5.89;58.093;3246;215;315;1;316;69;2;1;1;1;2;ØYEPÅL      ;TRISOPTERUS ESMARKII;1;0.412;12;1;E;0.412;12;3; ;14;18;;1;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12
2001;6;5.833;57.948;3246;445;545;1;261;69;2.1;1;1;1;2;DYPVANNSREKE;PANDALUS BOREALIS;1;27.262;4723;1;C;1.293;224;1;H;1.2;2.8;224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;224
2001;6;5.833;57.948;3246;445;545;1;261;69;2.1;1;1;1;2;FIRETRÅDET T;ENCHELYOPUS CIMBRIUS;1;0.428;7;1;E;0.428;7;3; ;15;27;;;1;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7
2001;6;5.833;57.948;3246;445;545;1;261;69;2.1;1;1;1;2;HVITTING    ;MERLANGIUS MERLANGUS;1;0.005;1;1;E;0.005;1;3; ;8;8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2001;6;5.833;57.948;3246;445;545;1;261;69;2.1;1;1;1;2;KOLMULE     ;MICROMESISTIUS POUTASSOU;1;60;510;1;E;15.76;134;3; ;19;37;;;1;52;55;22;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134
2001;6;5.833;57.948;3246;445;545;1;261;69;2.1;1;1;1;2;LYSING      ;MERLUCCIUS MERLUCCIUS;1;0.42;1;1;E;0.42;1;3; ;39;39;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2001;6;5.833;57.948;3246;445;545;1;261;69;2.1;1;1;1;2;SJØKREPS    ;NEPHROPS NORVEGICUS;1;1.138;11;1;C;1.138;11;1;2;3;6.5;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11
2001;6;5.833;57.948;3246;445;545;1;261;69;2.1;1;1;1;2;SVARTHÅ     ;ETMOPTERUS SPINAX;1;1.107;14;1;E;1.107;14;3; ;15;31;;;3;5;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14
2001;6;5.833;57.948;3246;445;545;1;261;69;2.1;1;1;1;2;SØLVTORSK   ;GADICULUS ARGENTEUS;1;0.655;22;1;E;0.655;22;3; ;10;18;;11;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22
2001;6;5.833;57.948;3246;445;545;1;261;69;2.1;1;1;1;2;VASSILD     ;ARGENTINA SILUS;1;1.277;6;1;E;1.277;6;3; ;29;31;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
2001;6;5.833;57.948;3246;445;545;1;261;69;2.1;1;1;1;2;BLOMSTERREKE;PANDALUS MONTAGUI;1;0.105;-1;-1; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
